id,product_name,price,reviews_count,avg_rate
300,IT ENDS WITH US - UGLY LOVE BY Colleen Hoover,89.00 Dhs,12 avis vérifiés,89.00 Dhs
301,"Derma Roller Rouleau à micro-aiguilles en titane, pour repousse des cheveux et croissance la barbe",27.70 Dhs,47 avis vérifiés,27.70 Dhs
302,Vrai nature Le moringa / renforce le système immunitaire du corps / 40 gélules,59.00 Dhs,6 avis vérifiés,59.00 Dhs
303,L'Oréal Paris Elsève - Hyaluron Plump - Shampoing à l'acide hyaluronique pour cheveux deshydratés et en manque de vitalité - 400 ml,45.00 Dhs,2 avis vérifiés,45.00 Dhs
304,edyson Aspirateur Sans Fil Ultra-Léger Handy 400ML avec Station de recharge,349.00 Dhs,22 avis vérifiés,349.00 Dhs
305,"Visio Smart TV 32"" Android officielle HD - Bluetooth 5.0 - Récepteur Intégré - HDR - DOLBY VISION","1,669.00 Dhs",1 avis vérifié,"1,669.00 Dhs"
306,Nutrimax SPIRULINE NUTRIMAX BIO 240 comprimés,139.00 Dhs,3 avis vérifiés,139.00 Dhs
307,Revolution Relove Baby Tint Coral Lip & Cheek Tint,50.00 Dhs,13 avis vérifiés,50.00 Dhs
308,Maybelline Superstay 30H Fond de teint mat longue tenue et haute couvrante - 40 FAWN,49.00 Dhs,3 avis vérifiés,49.00 Dhs
309,Mixeur de jus portable et rechargeable USB,81.99 Dhs,55 avis vérifiés,81.99 Dhs
310,Chauffe en céramique automatique pour tasse à café,113.99 Dhs,44 avis vérifiés,113.99 Dhs
311,"Microphone PROFESSIONNEL, AUX, Cable 1,5 m, Voix Hi-Fi , Enregistrement audio",35.80 Dhs,33 avis vérifiés,35.80 Dhs
312,Tapis de Souris Gaming Dragon Fury,25.00 Dhs,22 avis vérifiés,25.00 Dhs
313,Adidas Claquette Adilette Unisexe,329.00 Dhs,0,329.00 Dhs
314,Ultra Compact Lot 2 lingettes demaiquillantes + micellar 400ml,35.00 Dhs,106 avis vérifiés,35.00 Dhs
315,Kenz Mixeur Plongeant 4EN1 orange&Blanc INOX article 3487,185.00 Dhs,62 avis vérifiés,185.00 Dhs
316,"Tablette Dessin Graphique LCD Tactile Bleu, Tableau à dessiner écriture Dessinage -8.5 pouces",62.00 Dhs,19 avis vérifiés,62.00 Dhs
317,Ferri Etagère multifonction,115.00 Dhs,7 avis vérifiés,115.00 Dhs
318,Suzana Suzana - Thon à L'Huile Végétale 900g,70.60 Dhs,18 avis vérifiés,70.60 Dhs
319,Kenz Pack Blender Bol En Verre 1.5L ICE Crush + Mixeur plongeant 4EN1 GRIS&BLANC G-lineshop article 5698,367.00 Dhs,20 avis vérifiés,367.00 Dhs
320,Maybelline New York Rouge à lèvres Sensationnal liquid matte - 01 To The Fullest - 7 ml,40.00 Dhs,12 avis vérifiés,40.00 Dhs
321,"Samsung 32"" Smart Tv HD - Récepteur Intégré - TNT - HDMI - 32T5300","2,087.00 Dhs",1 avis vérifié,"2,087.00 Dhs"
322,Essence LASH PRINCESS MASCARA FALSE LASHES EFFECT 12ML,33.60 Dhs,35 avis vérifiés,33.60 Dhs
323,NIVEA MEN Gel Nettoyant - Deep - 100ml,49.00 Dhs,51 avis vérifiés,49.00 Dhs
324,One Step professional brosse 1200w en acier (made in Germany),129.00 Dhs,2 avis vérifiés,129.00 Dhs
325,Pro6 Écouteurs stéréo Sans Fil Bluetooth V5.1+EDR,91.99 Dhs,39 avis vérifiés,91.99 Dhs
326,Pack 10 Chaussettes Femmes Hommes 100 % Coton Bio,69.00 Dhs,245 avis vérifiés,69.00 Dhs
327,US POLO CHAUSSURES FEMME - NOIR,199.00 Dhs,11 avis vérifiés,199.00 Dhs
328,Pastel SHOW BY PASTEL SHOW YOUR JOY LIQUID BLUSH,39.00 Dhs,32 avis vérifiés,39.00 Dhs
329,Koton T-SHIRT HOMME -VERT,54.00 Dhs,5 avis vérifiés,54.00 Dhs
330,Macaron Royaume du Maroc pour voiture avec support,190.00 Dhs,1 avis vérifié,190.00 Dhs
331,"sac à dos de grande capacité Imperméable, Cartable multifonctionnel",199.00 Dhs,1 avis vérifié,199.00 Dhs
332,"Samsung 40"" - TV LED 40T5300 FULL HD SMART TV AVEC RÉCEPTEUR INTÉGRÉ","3,099.00 Dhs",4 avis vérifiés,"3,099.00 Dhs"
333,NIVEA MEN Déodorant Black & White Original -Pour Homme - Stick 2x40ml,49.00 Dhs,108 avis vérifiés,49.00 Dhs
334,Monster Monster - Pack 12x35cl,165.95 Dhs,8 avis vérifiés,165.95 Dhs
335,TWS E6S LED Display Wireless Earphone TWS Bluetooth V5.0 Headsets Waterproof Bluetooth Earbuds,66.00 Dhs,11 avis vérifiés,66.00 Dhs
336,Autokit Ultra Car Care Set 6 pièces dans un sac,89.00 Dhs,2 avis vérifiés,89.00 Dhs
337,3 Tableaux islamique en aluminium argenté,79.00 Dhs,194 avis vérifiés,79.00 Dhs
338,Koton PULL FEMME - NOIR,29.00 Dhs,6 avis vérifiés,29.00 Dhs
339,XIAOMI Mi 33W Wall Charger (Type-A + Type-C) (WHITE) - 1 an de garantie,145.00 Dhs,24 avis vérifiés,145.00 Dhs
340,XIAOMI Mi Body Composition Scale 2 - 1 an de garantie,225.00 Dhs,13 avis vérifiés,225.00 Dhs
341,Oraimo 27000mAh Massive Power Charing Bank Traveller 3 Byte,359.00 Dhs,5 avis vérifiés,359.00 Dhs
342,Hoodie / Capuchon OTAKU NARUTO CLANS SYMBOLS,84.00 Dhs,21 avis vérifiés,84.00 Dhs
343,Koton CHEMISE À MANCHES LONGUES FEMME - BEIGE,169.00 Dhs,2 avis vérifiés,169.00 Dhs
344,Omega Refill Ink Printer Bouteilles d'encre GI-490 Compatible pour les imprimantes PIXMA G1400/G1410/G2400/G2410/G2411/G3400/G3410/G3411/G3415,120.00 Dhs,2 avis vérifiés,120.00 Dhs
345,"edyson Robot Pétrin Digital 7L Deluxe ""Noir Mat Pro"" Silicone Soft Touch Chrome Brossé",859.00 Dhs,152 avis vérifiés,859.00 Dhs
346,Nike Sac a dos unisexe - Rose,259.00 Dhs,9 avis vérifiés,259.00 Dhs
347,"Mini Porte-chaussures meuble de rangement sur pied, organisateur",58.00 Dhs,1 avis vérifié,58.00 Dhs
348,Garnier Ultra Doux - Hair Food - Après Shampoing lissant pour cheveux bouclés crépus - 350ml,40.00 Dhs,4 avis vérifiés,40.00 Dhs
349,Kinetix CHAUSSURES FEMMES - NOIR,134.00 Dhs,0,134.00 Dhs
350,Eric Favre MIDAL E Vitamine E pure 900 mg - 30 capsules,92.99 Dhs,59 avis vérifiés,92.99 Dhs
351,Polaris MULES Femmes - NOIR,39.00 Dhs,0,39.00 Dhs
352,Scotch double face réutilisable adhésif murale pour rangement - 5 mètre,49.00 Dhs,199 avis vérifiés,49.00 Dhs
353,Gullon Gullon - Mini Mix 350g,16.90 Dhs,7 avis vérifiés,16.90 Dhs
354,Rallonge Multi prise Multiprises + 3 USB 4 Prises pour Smartphone/Tv/Tablettes,79.00 Dhs,2 avis vérifiés,79.00 Dhs
355,BUTIGO SANDALES FEMMES - NOIR,79.00 Dhs,0,79.00 Dhs
356,Gullon Gullon - Avena Choco Zero 275g,16.90 Dhs,5 avis vérifiés,16.90 Dhs
357,Lesieur Lesieur - Huile de Table 2l,43.79 Dhs,219 avis vérifiés,43.79 Dhs
358,Kemei LwS> Tondeuse à cheveux électrique sans fil vintage T9 0mm professionnel,99.00 Dhs,2 avis vérifiés,99.00 Dhs
